p_name,AOI,dwell_duration,conformity_score,revisiting_score,seq_bar_length,re_reading_bar_length,trial,dwell_duration_log,bar_position,dwell_lt_100ms
P1,AOI_P1,440,1,1,1.1,0.3,1,4,2,NA
P1,AOI_P2,30,1,2,1.1,0.6,2,2,5,0
P1,AOI_P1,10,1,3,1.1,0.8999999999999999,3,2,7,0
P1,AOI_P2,10,1,3,1.1,0.8999999999999999,4,2,9,0
P1,AOI_P1,0,1,3,1.1,0.8999999999999999,5,1,10.5,0
P1,AOI_P2,10,1,3,1.1,0.8999999999999999,6,2,12,0
P1,AOI_P1,0,1,3,1.1,0.8999999999999999,7,1,13.5,0
P1,AOI_P2,20,1,3,1.1,0.8999999999999999,8,2,15,0
P1,AOI_P1,0,1,3,1.1,0.8999999999999999,9,1,16.5,0
P1,AOI_P2,170,1,3,1.1,0.8999999999999999,10,3,18.5,0
P1,AOI_P1,0,1,3,1.1,0.8999999999999999,11,1,20.5,0
P1,AOI_P2,0,1,3,1.1,0.8999999999999999,12,1,21.5,0
P1,AOI_P1,10,1,3,1.1,0.8999999999999999,13,2,23,0
P1,AOI_P2,0,1,3,1.1,0.8999999999999999,14,1,24.5,0
P1,AOI_P1,0,1,3,1.1,0.8999999999999999,15,1,25.5,0
P1,AOI_P2,20,1,3,1.1,0.8999999999999999,16,2,27,0
P1,AOI_P1,0,1,3,1.1,0.8999999999999999,17,1,28.5,0
P1,AOI_P2,1370,1,3,1.1,0.8999999999999999,18,4,31,NA
P1,AOI_P1,366185,2,2,1.2,0.6,19,7,36.5,NA
P1,AOI_P2,270630,3,1,1.3,0.3,20,6,43,NA
P1,MISC_P3,220,2,1,1.2,0.3,21,3,47.5,0
P1,E1_D2,280,0,2,1,0.6,22,3,50.5,0
P1,MISC_P3,250,0,2,1,0.6,23,3,53.5,0
P1,E1_D2,320,0,1,1,0.3,24,4,57,NA
P1,E1_R1_OBJ,80,0,0,1,0,25,3,60.5,0
P1,G1_SUBJ,220,0,0,1,0,26,3,63.5,0
P1,R2_OBJ_1,350,0,0,1,0,27,4,67,NA
P1,MISC_P3,2230,0,0,1,0,28,4,71,NA
P1,E1_D2,200,0,0,1,0,29,3,74.5,0
P1,MISC2_P3,380,0,0,1,0,30,4,78,NA
P1,MISC_P3,4781,2,0,1.2,0,31,5,82.5,NA
P1,E1_R1_OBJ,1620,3,1,1.3,0.3,32,4,87,NA
P1,E1_R2_AWAREPRIME,440,2,1,1.2,0.3,33,4,91,NA
P1,E1_R1_OBJ,1921,0,2,1,0.6,34,4,95,NA
P1,MISC_P3,3011,7,1,1.7000000000000002,0.3,35,4,99,NA
P1,E1_R1_OBJ,380,13,1,2.3,0.3,36,4,103,NA
P1,E1_R2_AWAREPRIME,1720,17,0,2.7,0,37,4,107,NA
P1,E1_R3_AWAREEFFECT,510,19,0,2.9000000000000004,0,38,4,111,NA
P1,E1_R4_AWARELINK,350,19,0,2.9000000000000004,0,39,4,115,NA
P1,E1_D1,15201,17,0,2.7,0,40,5,119.5,NA
P1,E1_D2,37266,13,1,2.3,0.3,41,6,125,NA
P1,E1_D3,290,7,2,1.7000000000000002,0.6,42,3,129.5,0
P1,E1_D2,6921,3,2,1.3,0.6,43,5,133.5,NA
P1,E1_D3,24785,5,1,1.5,0.3,44,5,138.5,NA
P1,MISC2_P3,1770,5,1,1.5,0.3,45,4,143,NA
P1,M1_EXP,910,3,2,1.3,0.6,46,4,147,NA
P1,MISC2_P3,300,2,2,1.2,0.6,47,3,150.5,0
P1,M1_EXP,43318,3,1,1.3,0.3,48,6,155,NA
P1,M2_TIME_1,6880,2,0,1.2,0,49,5,160.5,NA
P1,G2_OBJ,730,0,0,1,0,50,4,165,NA
P1,MISC_P4,6060,1,1,1.1,0.3,51,5,169.5,NA
P1,DV_TIME,10472,1,2,1.1,0.6,52,5,174.5,NA
P1,MISC_P4,280,2,2,1.2,0.6,53,3,178.5,0
P1,DV_TIME,7081,3,2,1.3,0.6,54,5,182.5,NA
P1,R1_SUBJ,12771,2,2,1.2,0.6,55,5,187.5,NA
P1,DV_TIME,3041,1,3,1.1,0.8999999999999999,56,4,192,NA
P1,R1_SUBJ,2110,1,3,1.1,0.8999999999999999,57,4,196,NA
P1,DV_TIME,11173,1,3,1.1,0.8999999999999999,58,5,200.5,NA
P1,R1_SUBJ,1510,1,3,1.1,0.8999999999999999,59,4,205,NA
P1,DV_TIME,2841,1,3,1.1,0.8999999999999999,60,4,209,NA
P1,R1_SUBJ,1291,1,3,1.1,0.8999999999999999,61,4,213,NA
P1,DV_TIME,9642,2,2,1.2,0.6,62,5,217.5,NA
P1,R1_SUBJ,38317,3,1,1.3,0.3,63,6,223,NA
P1,R2_OBJ_1,6551,2,0,1.2,0,64,5,228.5,NA
P1,R3_DIFF,90,0,0,1,0,65,3,232.5,0
P1,R2_OBJ_2,4281,0,0,1,0,66,5,236.5,NA
P1,G1_SUBJ,1361,0,0,1,0,67,4,241,NA
P1,R3_DIFF,16963,2,0,1.2,0,68,5,245.5,NA
P1,R4_AWAREPRIME,3971,3,0,1.3,0,69,5,250.5,NA
P1,R5_AWAREEFFECT,1340,2,0,1.2,0,70,4,255,NA
P1,R3_DIFF,70,0,0,1,0,71,3,258.5,0
P1,R1_SUBJ,140,0,0,1,0,72,3,261.5,0
P1,DV_TIME,190,0,1,1,0.3,73,3,264.5,0
P1,MISC_P4,2441,1,1,1.1,0.3,74,4,268,NA
P1,DV_TIME,15792,1,2,1.1,0.6,75,5,272.5,NA
P1,R3_DIFF,220,0,1,1,0.3,76,3,276.5,0
P1,DV_TIME,4070,2,1,1.2,0.3,77,5,280.5,NA
P1,R1_SUBJ,2070,3,1,1.3,0.3,78,4,285,NA
