"AOI","AOI_order","color"
"AOI_P1",1,"#E5C494"
"AOI_P2",2,"#FFFF33"
"MISC_P3",3,"#BAD6EB"
"E1_R1_OBJ",4,"#A3CCE3"
"E1_R2_AWAREPRIME",5,"#88BEDC"
"E1_R3_AWAREEFFECT",6,"#6BAED6"
"E1_R4_AWARELINK",7,"#539ECC"
"E1_D1",8,"#3D8DC3"
"E1_D2",9,"#2A7AB9"
"E1_D3",10,"#1967AD"
"MISC2_P3",11,"#0B559F"
"M1_EXP",12,"#084287"
"M2_TIME_1",13,"#08306B"
"M2_TIME_2",14,"#CCCCCC"
"MISC_P4",15,"#BABABA"
"DV_TIME",16,"#A2A2A2"
"R1_SUBJ",17,"#8B8B8B"
"R2_OBJ_1",18,"#757575"
"R2_OBJ_2",19,"#616161"
"R3_DIFF",20,"#4B4B4B"
"R4_AWAREPRIME",21,"#2F2F2F"
"R5_AWAREEFFECT",22,"#161616"
"G1_SUBJ",23,"#FB6A4A"
"G2_OBJ",24,"#EF3B2C"
"R6_AWARELINK",25,"#CA99C9"
"MISC_P5",26,"#D27FBD"
"G3_DIFF",27,"#A50F15"
"D1",28,"#B5E1AE"
"D2",29,"#9DD798"
"MISC_P6",30,"#81CA81"
"C1_E1",31,"#64BC6E"
"C2_OBJ",32,"#44AC5E"
"C3_SUBJ_1",33,"#309950"
"C3_SUBJ_2",34,"#1D8641"
"C4_AWARE",35,"#087331"
"C5_PRIMING",36,"#005D25"
"MISC2_P6",37,"#00441B"
